nationality,name,ZipfPopularity
Arabic,Totah,2
Arabic,Abboud,191
Arabic,Fakhoury,9
Arabic,Srour,3
Arabic,Sayegh,7
Arabic,Cham,1
Arabic,Haik,1
Arabic,Kattan,1
Arabic,Khouri,25
Arabic,Antoun,2
Arabic,Wasem,7
Arabic,Srour,23
Arabic,Seif,1
Arabic,Guirguis,1
Arabic,Sarkis,2
Arabic,Said,11
Arabic,Malouf,1
Arabic,Bishara,5
Arabic,Sarkis,66
Arabic,Totah,1
Arabic,Ganim,2
Arabic,Baz,2
Arabic,Assaf,1
Arabic,Nader,2
Arabic,Isa,1
Arabic,Awad,1
Arabic,Deeb,1
Arabic,Kanaan,1
Arabic,Quraishi,2
Arabic,Atiyeh,42
Arabic,Fakhoury,1
Arabic,Bishara,4
Arabic,Boutros,8
Arabic,Sabbagh,1
Arabic,Totah,1
Arabic,Mustafa,5
Arabic,Mansour,1
Arabic,Hadad,4
Arabic,Salib,24
Arabic,Sabbag,2
Arabic,Totah,1
Arabic,Kassab,1
Arabic,Moghadam,1
Arabic,Quraishi,5
Arabic,Seif,1
Arabic,Boutros,49
Arabic,Assaf,3
Arabic,Haik,1
Arabic,Isa,1
Arabic,Atiyeh,1
Arabic,Antoun,7
Arabic,Ganim,32
Arabic,Najjar,1
Arabic,Ganim,827
Arabic,Gerges,2
Arabic,Sabbagh,1
Arabic,Safar,5
Arabic,Mifsud,931
Arabic,Shalhoub,2
Arabic,Moghadam,249
Arabic,Bishara,1
Arabic,Koury,2
Arabic,Salib,2
Arabic,Nader,1
Arabic,Atiyeh,2
Arabic,Atiyeh,1
Arabic,Kalb,28
Arabic,Harb,1
Arabic,Toma,9
Arabic,Mansour,2
Arabic,Maalouf,8
Arabic,Said,3
Arabic,Kouri,8
Arabic,Shadid,2
Arabic,Koury,1
Arabic,Kalb,7
Arabic,Dagher,10
Arabic,Toma,1
Arabic,Tahan,68
Arabic,Bahar,3
Arabic,Salib,1
Arabic,Boulos,1
Arabic,Tahan,13
Arabic,Attia,23
Arabic,Haik,1
Arabic,Kattan,4
Arabic,Amari,29
Arabic,Naser,34
Arabic,Hadad,15
Arabic,Baz,1023
Arabic,Bazzi,1
Arabic,Bata,1
Arabic,Salib,17
Arabic,Gerges,3
Arabic,Shamoon,4
Arabic,Hanania,1
Arabic,Masih,1
Arabic,Hanania,1
Arabic,Halabi,5484
Arabic,Sayegh,6
Arabic,Kalb,69
Arabic,Saliba,9
Arabic,Antar,66
Arabic,Antoun,20
Arabic,Qureshi,2
Arabic,Bishara,57
Arabic,Said,2
Arabic,Mustafa,1
Arabic,Kassis,2
Arabic,Totah,1
Arabic,Sarraf,3
Arabic,Attia,3
Arabic,Sayegh,1
Arabic,Abboud,2
Arabic,Haik,280
Arabic,Essa,7
Arabic,Maalouf,1
Arabic,Touma,30
Arabic,Tahan,1
Arabic,Maroun,25
Arabic,Kalb,25
Arabic,Najjar,1
Arabic,Almasi,6
Arabic,Harb,6
Arabic,Guirguis,2
Arabic,Ganem,49
Arabic,Bitar,79
Arabic,Khoury,2
Arabic,Attia,11
Arabic,Sarraf,2
Arabic,Aswad,3
Arabic,Sleiman,1
Arabic,Abboud,20727
Arabic,Sayegh,3
Arabic,Handal,2
Arabic,Naser,8
Arabic,Abadi,1
Arabic,Ganem,1
Arabic,Seif,14
Arabic,Cham,1
Arabic,Naifeh,11
Arabic,Saliba,1
Arabic,Shammas,3
Arabic,Tuma,1
Arabic,Malouf,128
Arabic,Harb,2
Arabic,Nader,530
Arabic,Shamon,3
Arabic,Touma,454
Arabic,Kassis,145
Arabic,Botros,1
Arabic,Said,18
Arabic,Sabbag,1
Arabic,Wasem,2
Arabic,Basara,3
Arabic,Hajjar,1
Arabic,Shadid,1
Arabic,Mifsud,1
Arabic,Bitar,3
Arabic,Dagher,2
Arabic,Essa,3
Arabic,Nader,1
Arabic,Kassis,2
Arabic,Kouri,1
Arabic,Totah,14
Arabic,Baz,1
Arabic,Naser,1
Arabic,Seif,3
Arabic,Mansour,11
Arabic,Tuma,1
Arabic,Mikhail,1
Arabic,Toma,1
Arabic,Khouri,5
