Name,Soundex,Frequency,ZipfPopularity
Aaron,A650,2,1
Abberley,A164,2,3887
Abbey,A100,3,1
Abbis,A120,2,1
Abble,A140,1,2
Abbot,A130,4,2
Abbots,A132,1,1
Abbott,A130,35,5
Abbotts,A132,3,11
Abbs,A120,2,2
Abdalraman,A134,1,1
Abe,A100,1,1
Abell,A140,3,50
Abendano,A153,2,1
Abererrnalia,A166,1,1
Abery,A160,1,2
Able,A140,1,1
Ableson,A142,1,2
Ablett,A143,3,9
Ablewhite,A143,1,7
Abra,A160,1,1
Abraham,A165,9,12
Abrahams,A165,5,51
Abram,A165,4,2
Abrames,A165,1,1
Abray,A160,1,1
Abrook,A162,1,16
Absolom,A124,1,1
Abson,A125,4,1
Acamley,A254,1,4
Acer,A260,1,1
Acey,A200,1,1
Acheson,A225,1,1
Ackerley,A264,2,2
Ackerman,A265,1,2
Acklam,A245,1,2
Ackland,A245,2,4
Ackrill,A264,1,2
Ackroyd,A263,7,1
Acland,A245,2,91
Acomb,A251,1,2
Aconley,A254,1,1
Acton,A235,2,1
Acutt,A230,1,1
Adam,A350,4,1
Adams,A352,89,815
Adamson,A352,11,4
Adby,A310,1,9
Adcock,A322,6,87
Addams,A352,1,1
Adderley,A364,3,1
Addicott,A323,2,5
Addinall,A354,1,447
Addis,A320,4,1
Addiscott,A323,1,4
Addison,A325,9,4
Addisson,A325,1,1
Addy,A300,2,4
Adey,A300,2,11
Adin,A350,1,4
Adkin,A325,1,43731
Adkins,A325,2,1
Adkinson,A325,1,4
Adlam,A345,2,2
Adlem,A345,2,18
Adlington,A345,2,2
Adshead,A323,5,26
Adwick,A320,1,34
Affleck,A142,1,2
Agar,A260,3,4
Agars,A262,1,4
Agate,A230,1,4
Agent,A253,1,1
Ager,A260,1,1
Agg,A200,1,14
Aggutter,A236,1,1
Agnew,A250,1,7
Aguiter,A236,1,1
Ahern,A650,2,9
Aiken,A250,1,1
Ailsworth,A426,1,1
Aindow,A530,2,1
Ainge,A520,1,3
Aingy,A520,1,14
Ainley,A540,4,1
Ainscough,A522,2,2
Ainsley,A524,1,225
Ainslie,A524,1,19
Ainsworth,A526,8,2
Aires,A620,1,286
Airey,A600,4,23
Aish,A200,1,1
Aisthorpe,A236,1,1
Aitcheson,A322,1,7
Aitchison,A322,1,1
Aitken,A325,3,3
Aizlewood,A243,1,6
Akehurst,A262,2,458
Akenhead,A253,2,7
Akerman,A265,1,4
Akeroyd,A263,1,1
Akers,A262,1,1
Akester,A223,1,223
Akin,A250,2,13
Akker,A260,2,4
Akroyd,A263,1,3
Albenson,A415,1,2
Albert,A416,1,4
Albeston,A412,1,9
Albon,A415,1,3
Albot,A413,1,2
Alcock,A422,10,4
Alcorn,A426,1,69
Alcott,A423,1,1958
