Surname,Count,Nationality
Long,364,English
Gow,362,English
Rutter,295,English
Crosland,261,English
Silcox,241,English
Buckley,241,English
Cann,233,English
Parkinson,219,English
Twyning,204,English
Pain,172,English
Jones,164,English
Trestrain,151,English
Stevens,147,English
Prichard,140,English
Thompson,131,English
Taylor,123,English
William,120,English
Maddock,119,English
Crooks,116,English
Chisnall,115,English
Petherick,113,English
Burtonwood,112,English
Cooper,108,English
Roberts,106,English
Gladdin,105,English
Prince,102,English
Nuttall,100,English
Kempster,99,English
Lyon,93,English
Frisby,92,English
Trebilcock,91,English
Capel,88,English
Geard,87,English
Brooker,86,English
Hannas,84,English
Whalley,80,English
Hawes,80,English
Tripp,79,English
Woolley,79,English
Heblet,79,English
Robinson,78,English
Allmond,77,English
Holness,76,English
Halford,73,English
Holdsworth,73,English
Skinley,71,English
Whitmarsh,69,English
Mitchell,69,English
Derbyshire,69,English
Haylor,68,English
Gazely,65,English
Ricktts,64,English
Cartwright,62,English
Barlow,62,English
Gravett,61,English
Burrows,60,English
Badmin,59,English
Mockett,58,English
Kent,58,English
Bumfield,58,English
Lond,56,English
Hort,55,English
Thorne,54,English
Tandy,54,English
Tuck,54,English
Davison,53,English
Ellis,53,English
Davy,52,English
Tristram,52,English
Walsh,51,English
Cussons,49,English
Lovelock,49,English
Campbell,48,English
Bryan,48,English
Warner,45,English
Baylis,45,English
Hertzell,44,English
Barnes,44,English
Griffin,43,English
Whittall,43,English
Young,42,English
Bartlett,42,English
Blizard,41,English
Evans,41,English
Wilkinson,41,English
Haynes,39,English
Charlesworth,39,English
Cope,39,English
Abbott,38,English
Veal,38,English
McCue,38,English
Saundry,37,English
Hyde,36,English
Myring,34,English
Lane,33,English
Needham,32,English
Dodd,32,English
Jackson,32,English
Davies,30,English
Price,30,English
Naggs,29,English
Henson,29,English
Day,28,English
Collins,28,English
Seteary,27,English
Bright,27,English
Crook,27,English
Crosby,26,English
Newland,26,English
Clough,26,English
Breadsell,26,English
Redman,26,English
Holdom,26,English
Pepper,26,English
Turnbull,26,English
Bass,25,English
Plowman,24,English
Bowen,23,English
Pottle,22,English
Bigington,22,English
Rigby,22,English
Smith,21,English
Creed,21,English
Wickham,19,English
Floyd,19,English
Tricker,19,English
Burley,19,English
Copsey,18,English
Haines,18,English
Watts,18,English
Miller,18,English
Ingle,17,English
Hurlston,17,English
Howe,17,English
Platt,17,English
Hall,17,English
Law,16,English
Doughty,16,English
Everard,16,English
Hawkes,15,English
Bousfield,14,English
Jenkins,14,English
Almond,12,English
Reader,12,English
Bloomer,12,English
Lucy,11,English
Waterman,11,English
Jolly,11,English
Comyn,11,English
Judd,10,English
Wiggins,10,English
Dulson,10,English
Shemilt,9,English
Grey,9,English
Napthen,9,English
Johnson,8,English
Bannister,8,English
Paul,8,English
Fenton,8,English
Fountain,8,English
Pidgeon,8,English
Carleton,8,English
Sims,7,English
Ellington,6,English
Melpuss,5,English
Vince,5,English
Stanford,5,English
McNally,5,English
Madren,5,English
Gosling,4,English
Stone,4,English
Hogg,4,English
Cade,4,English
Barris,3,English
Le Strange,3,English
Bridge,1,English
Cooney,1,English
Elliott,1,English
