Surname,Count
Taylor,17
Smith,15
Ewens,14
Evans,14
Bayford,13
Morris,12
Lunn,10
Price,10
Turner,10
Young,9
Peek,8
Meadows,8
Jenkin,8
Bate,7
Welsby,7
Sims,7
Wakeling,7
Hoggard,7
Gray,7
Halfpenny,7
Green,7
Sykes,6
Bates,6
Williams,6
Brown,6
Clark,6
Massey,6
Mitchell,6
Porter,6
Thompson,6
Kenworthy,6
Allison,6
Swaine,6
Pike,6
Aspden,6
Gregory,5
Aldrich,5
Morgan,5
Bowser,5
Betts,5
Hewitt,5
Swaby,5
Rathborne,5
Dunn,5
Martin,5
Hollingshead,5
Johnson,5
Mills,5
Timms,5
Barker,5
Bridges,5
Simpson,5
Molyneux,5
Middleton,5
Slack,5
Campbell,5
Balsden,5
Robotham,5
Honeyborn,5
Jackson,5
Peat,4
Maguire,4
Canham,4
Stephenson,4
Jones,4
Jordan,4
Forster,4
Bointon,4
Pearson,4
Ling,4
Paige,4
Battye,4
Sandbach,4
Baker,4
Churchman,4
Warhurst,4
Howard,4
Smethurst,4
Sugget,4
Kelly,4
Finch,4
Hepeltson,4
Hamer,4
Prichard,4
Fraser,4
Parr,4
Blaikie,4
Skinner,4
Gordon,4
Cottrell,4
Harwood,4
McGarrell,4
Guy,4
Gardiner,4
Ball,4
Maltby,4
Pomory,4
Bye,4
Mellor,4
Drewry,4
Haddon,3
Breadsell,3
Sharp,3
Duckett,3
Schofield,3
Edwards,3
Halk,3
Melling,3
Hughes,3
Sparrow,3
Hooper,3
Butcher,3
Barnett,3
Nott,3
Sandwith,3
Wright,3
Vaughan,3
Amy,3
Irish,3
Pullinger,3
Coffin,3
Robey,3
Hargrove,3
Culver,3
Harris,3
Swift,3
Page,3
Machin,3
Haynes,3
Hampton,3
Lewis,3
Freeman,3
Reynolds,3
Chessell,3
Bannister,3
Ledger,3
Ashworth,3
Logan,3
Brownscombe,3
Nance,3
Brindsden,3
Warriner,3
Thorneloo,3
Lawton,3
Webster,3
Robinson,3
Woodhams,3
Nelson,3
Gibson,3
Filer,3
Holsley,3
Coltman,3
Pemperton,3
Hore,3
Kirby,3
Gosling,3
Gillatt,2
Want,2
Lightbourn,2
Duke,2
Adams,2
Bone,2
Cook,2
Keely,2
Wharin,2
Wrigley,2
Murphy,2
Lilley,2
Belcher,2
Day,2
Sollitt,2
Marsh,2
Fink,2
Davenport,2
Waters,2
Ogle,2
Packer,2
Ellis,2
Saunders,2
Sleep,2
Milton,2
Ramsden,2
Luntley,2
Davies,2
Abraham,2
Sharvell,2
Hodges,2
Wood,2
Roden,2
Archer,2
Roberts,2
Shephard,2
Weatherell,2
McMullin,2
Tibbs,2
Ford,2
Durrant,2
Bale,2
Stow,2
Thorn,2
Shellard,2
Hydes,2
Hall,2
Hine,2
Chadwick,2
Gass,2
Godfrey,2
Stevens,2
Costin,2
Brough,2
Riley,2
Maythorn,2
Colling,2
Austin,2
Inman,2
Jaques,2
Woolley,2
Ashford,2
Gardner,2
Baum,2
Tizard,2
Hilton,2
Frost,2
Haslam,2
Standill,2
Woolliams,2
Appleton,2
Holland,2
Aston,2
Wooff,2
Hurford,2
Orpet,2
Vale,2
Chrishop,2
Bond,2
Huntington,2
Revett,2
Riding,2
Bolton,2
Beale,2
Clarkson,2
Eaude,2
Thursby,2
Pease,2
Gerrard,2
Callaghan,2
Robson,2
Poole,2
Ayland,2
Cherry,2
Carey,2
Laurence,2
Winter,2
Whitehurst,2
Pope,2
Pash,2
Hendry,2
Couldwell,2
Pritchard,2
Donaldson,2
Ayting,1
Senior,1
Findlow,1
Godber,1
Sooris,1
Carter,1
Platt,1
Sands,1
Norgate,1
Matthews,1
Cassidy,1
Lovell,1
Jennings,1
Farrington,1
Bruce,1
Dean,1
Pennell,1
Curran,1
Moulding,1
Batty,1
Mackie,1
Snow,1
Best,1
Slingsby,1
Stansfield,1
Broadbent,1
Crichton,1
Rougheley,1
Richardson,1
Balls,1
Climo,1
Corker,1
Sousby,1
Worlow,1
Girling,1
Hawken,1
Tate,1
Bennett,1
Carpenter,1
Lighting,1
Patten,1
Parsons,1
Bedford,1
Wells,1
Gilligan,1
Leach,1
Claxton,1
Dearlove,1
Wilson,1
Elsey,1
Paget,1
Goldsworthy,1
Grady,1
