Surname,Count,Nationality
Veeranna,1527,Indian
Chahal,1358,Indian
Sahai,803,Indian
Rakhletzky,782,Russian
Gassiy,707,Russian
Mencher,601,Polish
Ruhlyada,349,Russian
Wasem,309,Arabic
Gniewek,292,Polish
Dubatolov,268,Russian
Niemec,262,Polish
Malouf,211,Arabic
Stawski,205,Polish
Golani,188,Indian
Koury,147,Arabic
Yakushkin,143,Russian
Darevsky,125,Russian
Atanasyan,120,Russian
Winogrodzki,117,Polish
Jvirblis,112,Russian
Uppal,105,Indian
Pimparkar,103,Indian
Rusnak,102,Polish
Kaczka,92,Polish
Pakulski,92,Polish
Botros,87,Arabic
Zhohin,73,Russian
Jupikov,72,Russian
Anikushin,61,Russian
Astrahankin,61,Russian
Esmansky,60,Russian
Ullal,60,Indian
Bhargav,58,Indian
Ryzhankov,58,Russian
Tagore,58,Indian
Rahal,58,Arabic
Talari,57,Indian
Jakushev,52,Russian
Naifeh,51,Arabic
Mokrinsky,48,Russian
Sokal,47,Polish
Zabek,46,Polish
Muttemwar,45,Indian
Nader,42,Arabic
Tannous,39,Arabic
Danyarov,38,Russian
Haladzhan,37,Russian
Chlebek,37,Polish
Shamon,30,Arabic
Hanania,30,Arabic
Dubanowski,30,Polish
Durylin,28,Russian
Baweja,27,Indian
Winograd,27,Polish
Hadas,26,Indian
Glezarov,25,Russian
Abboud,25,Arabic
Paul,24,Indian
Zaantye,24,Indian
Wojewódzki,24,Polish
Gulevsky,22,Russian
Jaskulski,21,Polish
Chmiel,20,Polish
Vyas,20,Indian
Asfour,20,Arabic
Yudovich,20,Russian
Broż,19,Polish
Chakravarthy,19,Indian
Touma,17,Arabic
Bakikhanov,16,Russian
Saksagansky,15,Russian
Lupichev,15,Russian
Das,15,Indian
Guldreih,15,Russian
Malinowski,15,Polish
Gera,14,Indian
Kaluza,14,Polish
Vaze,14,Indian
Lallad,14,Indian
Wyrzyk,13,Polish
Mollo,13,Russian
Budny,13,Polish
Grigorchikov,12,Russian
Abadi,11,Arabic
Gribanovsky,11,Russian
Jekulin,11,Russian
Mansour,11,Arabic
Lokhande,11,Indian
Thakran,11,Indian
Tijori,10,Indian
Adamczyk,10,Polish
Eihe,10,Russian
Said,10,Arabic
Krakowski,10,Polish
Saliba,10,Arabic
Andryukov,10,Russian
Bukoski,10,Polish
Gwozdek,10,Polish
Baburin,10,Russian
Haidurov,10,Russian
Atri,10,Indian
Pokhlebkin,9,Russian
Klimek,9,Polish
Guirguis,9,Arabic
Zaskanov,9,Russian
Stolarz,9,Polish
Andreevsky,9,Russian
Andruhovich,8,Russian
Gulichev,8,Russian
Najjar,8,Arabic
"Doifode, doiphode",8,Indian
Maheshwari,8,Indian
Miheev,8,Russian
Maroun,7,Arabic
Kowalski,7,Polish
Jadkevich,7,Russian
Alkov,7,Russian
Ślusarski,7,Polish
Jaskolski,7,Polish
Kansal,7,Indian
Zdunowski,7,Polish
Guzenkov,6,Russian
Kassis,6,Arabic
Halabi,6,Arabic
Zogby,6,Arabic
Srivastava,6,Indian
Tokarev,5,Russian
