Name,Soundex,Frequency
Jones,J520,775
Smith,S530,740
Williams,W452,552
Davies,D120,366
Taylor,T460,356
Brown,B650,348
Evans,E152,308
Thomas,T520,288
Roberts,R163,251
Johnson,J525,238
Turner,T656,224
Robinson,R152,216
Wilson,W425,202
White,W300,201
Lewis,L200,192
Thompson,T512,192
Hughes,H220,189
Wood,W300,187
Jackson,J250,185
Hall,H400,182
Walker,W426,181
Green,G650,177
Cooper,C160,172
Edwards,E363,168
Wright,W623,167
Clark,C462,155
Harris,H620,153
Harrison,H625,153
Martin,M635,140
Morris,M620,140
Davis,D120,138
Baker,B260,134
James,J520,132
Ward,W630,131
Hill,H400,130
Clarke,C462,129
Phillips,P412,125
Allen,A450,123
Morgan,M625,123
Parker,P626,122
Moore,M600,120
Mitchell,M324,118
Bennett,B530,116
Cook,C200,112
Scott,S230,111
Price,P620,108
Carter,C636,107
Ellis,E420,107
Lee,L000,107
King,K520,105
Wilkinson,W425,105
Young,Y520,105
Griffiths,G613,100
Watson,W325,100
Richardson,R263,98
Marshall,M624,95
Cox,C200,94
Shaw,S000,94
Jenkins,J525,93
Richards,R263,93
Mills,M420,92
Miller,M460,91
Palmer,P456,91
Owen,O500,90
Simpson,S512,90
Adams,A352,89
Dixon,D250,89
Bell,B400,88
Matthews,M320,88
Rogers,R262,88
Webb,W100,86
Barnes,B652,85
Collins,C452,85
Bailey,B400,84
Knight,K523,84
Mason,M250,83
Booth,B300,82
Foster,F236,81
Hunt,H530,79
Powell,P400,79
Barker,B626,78
Chapman,C155,78
Stevens,S315,77
Holmes,H452,76
Howard,H630,75
Dawson,D250,74
Fletcher,F432,74
Lloyd,L300,74
West,W230,71
Fisher,F260,67
Harvey,H610,67
Hudson,H325,67
Elliott,E430,66
Gibson,G125,66
Pearce,P620,66
Pearson,P625,66
Rees,R200,65
Watts,W320,65
Reynolds,R543,64
Burton,B635,61
Hart,H630,61
Lane,L500,60
Atkinson,A325,58
Cole,C400,58
Day,D000,58
Brooks,B620,57
Russell,R240,57
Ball,B400,56
Fox,F200,56
Gray,G600,56
Owens,O520,56
Page,P200,56
